         188107 function calls (185585 primitive calls) in 19.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.005    0.001    0.014    0.003 socket.py:403(close)
    182/4    0.005    0.000    0.625    0.156 <frozen importlib._bootstrap>:966(_find_and_load)
        4    0.005    0.001    1.509    0.377 connectionpool.py:328(_make_request)
    173/5    0.004    0.000    0.620    0.124 <frozen importlib._bootstrap>:659(_load_unlocked)
       71    0.004    0.000    0.155    0.002 re.py:278(_compile)
        8    0.004    0.001    0.076    0.009 feedparser.py:221(_parsegen)
      617    0.004    0.000    0.014    0.000 os.py:720(__getitem__)
        4    0.004    0.001   14.339    3.585 sessions.py:556(send)
     1168    0.004    0.000    0.007    0.000 os.py:800(decode)
      246    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7f91dc1ce640}
       24    0.004    0.000    0.018    0.001 _collections_abc.py:758(update)
      152    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
      128    0.004    0.000    0.004    0.000 {method 'find' of 'str' objects}
      617    0.004    0.000    0.006    0.000 os.py:796(encode)
        8    0.004    0.000    0.032    0.004 cookiejar.py:1577(make_cookies)
        5    0.003    0.001    0.003    0.001 socket.py:399(_real_close)
     1438    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
      120    0.003    0.000    0.004    0.000 structures.py:48(__setitem__)
       40    0.003    0.000    0.005    0.000 parse.py:322(urlsplit)
     1092    0.003    0.000    0.004    0.000 sre_parse.py:242(match)
      169    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1218(_get_spec)
   503/53    0.003    0.000    0.581    0.011 <frozen importlib._bootstrap>:996(_handle_fromlist)
        8    0.003    0.000    0.036    0.005 cookiejar.py:1657(extract_cookies)
     1184    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      177    0.003    0.000    0.019    0.000 sre_compile.py:221(_compile_charset)
        6    0.003    0.000    0.012    0.002 enum.py:547(<dictcomp>)
      204    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        4    0.003    0.001   18.817    4.704 index.py:8(index)
       76    0.003    0.000    0.003    0.000 {method 'popleft' of 'collections.deque' objects}
      168    0.003    0.000    0.007    0.000 enum.py:51(__setitem__)
      152    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:482(_compile_bytecode)
      208    0.002    0.000    0.003    0.000 enum.py:301(__setattr__)
      679    0.002    0.000    0.005    0.000 {built-in method builtins.setattr}
        8    0.002    0.000    0.029    0.004 request.py:2399(getproxies_environment)
      172    0.002    0.000    0.045    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      714    0.002    0.000    0.002    0.000 {method 'isupper' of 'str' objects}
      182    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:163(__enter__)
      530    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:852(__enter__)
      204    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:119(release)
      530    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:856(__exit__)
        1    0.002    0.002    0.003    0.003 jpcntx.py:28(<module>)
       92    0.002    0.000    0.003    0.000 parse.py:101(_coerce_args)
      304    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      592    0.002    0.000    0.006    0.000 os.py:743(__iter__)
       84    0.002    0.000    0.005    0.000 feedparser.py:79(readline)
      320    0.002    0.000    0.004    0.000 socket.py:76(<lambda>)
      172    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:321(__exit__)
      169    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:521(spec_from_file_location)
        8    0.002    0.000    0.002    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      479    0.002    0.000    0.003    0.000 sre_parse.py:276(tell)
      204    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:94(acquire)
      540    0.002    0.000    0.003    0.000 sre_parse.py:165(append)
      191    0.002    0.000    0.004    0.000 {built-in method builtins.any}
